step,task0_mean_1,task0_upper_1,task0_lower_1,task0_mean_2,task0_upper_2,task0_lower_2,task0_mean_3,task0_upper_3,task0_lower_3
817500,0.828,1.02997959,0.62602041,1,1,1,1,1,1
825000,0.788,1.06997959,0.50602041,1,1,1,1,1,1
832500,0.788,1.06997959,0.50602041,1,1,1,1,1,1
840000,0.908,1.092,0.724,1,1,1,1,1,1
847500,0.868,1.06997959,0.66602041,1,1,1,1,1,1
855000,0.88,1.05797959,0.70202041,1,1,1,1,1,1
862500,0.88,1.05797959,0.70202041,1,1,1,1,1,1
870000,0.8,1.075959179,0.524040821,1,1,1,0.96,1.049442719,0.870557281
877500,0.8,1.075959179,0.524040821,1,1,1,0.96,1.049442719,0.870557281
885000,0.88,1.05797959,0.70202041,1,1,1,0.96,1.049442719,0.870557281
892500,0.868,1.06997959,0.66602041,1,1,1,0.96,1.049442719,0.870557281
900000,0.868,1.06997959,0.66602041,1,1,1,0.96,1.049442719,0.870557281
907500,0.868,1.06997959,0.66602041,1,1,1,1,1,1
915000,0.868,1.06997959,0.66602041,1,1,1,1,1,1
922500,0.788,1.087959179,0.488040821,1,1,1,1,1,1
930000,0.76,1.115959179,0.404040821,1,1,1,1,1,1
937500,0.72,1.093938769,0.346061231,0.96,1.04,0.88,1,1,1
945000,0.76,1.115959179,0.404040821,0.96,1.04,0.88,1,1,1
952500,0.72,1.155959179,0.284040821,0.96,1.04,0.88,1,1,1
960000,0.76,1.17797959,0.34202041,0.96,1.04,0.88,1,1,1
967500,0.76,1.17797959,0.34202041,0.96,1.04,0.88,1,1,1
975000,0.8,1.2,0.4,1,1,1,1,1,1
982500,0.84,1.16,0.52,1,1,1,1,1,1
990000,0.84,1.16,0.52,1,1,1,1,1,1
997500,0.88,1.12,0.64,1,1,1,1,1,1
1000000,0.92,1.08,0.76,1,1,1,1,1,1
